,XGBoost_Forecast
2025-05-03 15:00:00,774.58655
2025-05-03 16:00:00,777.78937
2025-05-03 17:00:00,780.62335
2025-05-03 18:00:00,794.6033
2025-05-03 19:00:00,802.7832
2025-05-03 20:00:00,814.5294
2025-05-03 21:00:00,804.3084
2025-05-03 22:00:00,802.21747
2025-05-03 23:00:00,799.3292
2025-05-04 00:00:00,793.07654
2025-05-04 01:00:00,789.39075
2025-05-04 02:00:00,782.1237
2025-05-04 03:00:00,775.97046
2025-05-04 04:00:00,771.87683
2025-05-04 05:00:00,772.9264
2025-05-04 06:00:00,775.04443
2025-05-04 07:00:00,779.82855
2025-05-04 08:00:00,782.2147
2025-05-04 09:00:00,782.0472
2025-05-04 10:00:00,780.83545
2025-05-04 11:00:00,780.7027
2025-05-04 12:00:00,779.3345
2025-05-04 13:00:00,779.2721
2025-05-04 14:00:00,779.2721
2025-05-04 15:00:00,779.2721
2025-05-04 16:00:00,782.4375
2025-05-04 17:00:00,785.2715
2025-05-04 18:00:00,797.0897
2025-05-04 19:00:00,802.7832
2025-05-04 20:00:00,813.8961
2025-05-04 21:00:00,804.81036
2025-05-04 22:00:00,802.21747
2025-05-04 23:00:00,798.90015
2025-05-05 00:00:00,792.6392
2025-05-05 01:00:00,782.74945
2025-05-05 02:00:00,775.8452
2025-05-05 03:00:00,771.247
2025-05-05 04:00:00,767.29895
2025-05-05 05:00:00,766.51605
2025-05-05 06:00:00,768.6341
2025-05-05 07:00:00,775.2507
2025-05-05 08:00:00,777.58826
2025-05-05 09:00:00,777.4207
2025-05-05 10:00:00,776.1499
2025-05-05 11:00:00,776.01715
2025-05-05 12:00:00,774.6489
2025-05-05 13:00:00,774.58655
2025-05-05 14:00:00,774.58655
2025-05-05 15:00:00,774.58655
2025-05-05 16:00:00,777.78937
2025-05-05 17:00:00,780.62335
2025-05-05 18:00:00,794.6033
2025-05-05 19:00:00,802.7832
2025-05-05 20:00:00,814.5294
2025-05-05 21:00:00,804.3084
2025-05-05 22:00:00,802.21747
2025-05-05 23:00:00,799.3292
2025-05-06 00:00:00,793.07654
2025-05-06 01:00:00,789.39075
2025-05-06 02:00:00,782.1237
2025-05-06 03:00:00,775.97046
2025-05-06 04:00:00,771.87683
2025-05-06 05:00:00,772.9264
2025-05-06 06:00:00,775.04443
2025-05-06 07:00:00,779.82855
2025-05-06 08:00:00,782.2147
2025-05-06 09:00:00,782.0472
2025-05-06 10:00:00,780.83545
2025-05-06 11:00:00,780.7027
2025-05-06 12:00:00,779.3345
2025-05-06 13:00:00,779.2721
